Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,914.2720821,101.2470396,520.2814403,0,34.96165543,113.3127805,557.2896602,542.9212827,5.664669961,8.703707505
 01/01  02:00:00,831.5887703,101.2470396,452.9308178,0,34.96165543,113.3127805,572.6891668,558.3198906,5.664669961,8.704606154
 01/01  03:00:00,847.9241327,101.2470396,469.4648223,0,34.96165543,113.3127805,593.7600109,570.706199,5.664669961,17.38914193
 01/01  04:00:00,859.5873032,101.2470396,478.6722323,0,34.96165543,113.3127805,595.8002992,581.4311602,5.664669961,8.704469061
 01/01  05:00:00,865.3489347,101.2470396,474.7937365,0,44.49376632,113.3127805,604.8342389,581.7807515,5.664669961,17.38881748
 01/01  06:00:00,857.9907492,101.2470396,464.4512677,0,44.49376632,113.3127805,615.9328212,593.0668538,14.1616749,8.704292515
 01/01  07:00:00,918.0298662,101.2470396,451.6940069,0,54.02587722,176.8892702,582.0187658,536.3069442,28.3233498,17.38847174
 01/01  08:00:00,918.4375575,101.2470396,452.4594327,0,54.02587722,184.3865456,583.1592946,531.9701562,42.48502471,8.704113703
 01/01  09:00:00,1001.085807,101.2470396,463.3381063,0,65.15725541,220.0431645,566.3342385,492.2275658,56.64669961,17.45997313
 01/01  10:00:00,1054.951901,101.2470396,522.1144822,0,65.15725541,212.5458892,539.8817039,471.1151711,42.48502471,26.28150812
 01/01  11:00:00,1111.958967,101.2470396,556.0786244,0,65.15725541,220.0431645,554.7979201,457.6044522,70.80837451,26.38509333
 01/01  12:00:00,1130.808398,101.2470396,564.6638419,0,65.15725541,220.0431645,540.6682679,443.4715991,70.80837451,26.38829434
 01/01  13:00:00,1133.615949,101.2470396,568.4333954,0,65.15725541,220.0431645,526.247919,429.053155,70.80837451,26.38638945
 01/01  14:00:00,1116.354471,101.2470396,561.9240633,0,65.15725541,212.5458892,483.0635589,408.8190289,56.64669961,17.59783039
 01/01  15:00:00,1111.840785,101.2470396,559.440853,0,65.15725541,212.5458892,455.5504255,386.6773093,42.48502471,26.38809143
 01/01  16:00:00,1113.523911,101.2470396,556.1657715,0,65.15725541,212.5458892,465.9880024,382.9552156,56.64669961,26.38608719
 01/01  17:00:00,1083.618818,101.2470396,548.9672803,0,65.15725541,220.0431645,478.3484479,366.989413,84.97004941,26.38898544
 01/01  18:00:00,1059.991737,101.2470396,560.0906734,0,54.02587722,184.3865456,512.5097544,401.2562972,84.97004941,26.28340774
 01/01  19:00:00,1043.181222,101.2470396,575.2936906,0,44.49376632,163.4543149,535.5107435,441.836381,84.97004941,8.704313122
 01/01  20:00:00,1029.903013,101.2470396,571.5689417,0,44.49376632,155.9570395,522.2656174,448.2304015,56.64669961,17.38851637
 01/01  21:00:00,996.4491582,101.2470396,569.1583274,0,44.49376632,124.5586935,549.4668945,484.1160574,56.64669961,8.704137454
 01/01  22:00:00,992.9877142,101.2470396,566.3689182,0,44.49376632,124.5586935,554.4869094,494.613713,42.48502471,17.38817175
 01/01  23:00:00,991.9415783,101.2470396,562.7982891,0,34.96165543,124.5586935,553.9991423,516.9718334,28.3233498,8.703959118
 01/01  00:00:00,998.3435701,101.2470396,558.7418129,0,34.96165543,124.5586935,551.9858446,528.6384912,14.1616749,9.185678548
 01/02  01:00:00,995.0568097,101.2470396,555.1771916,0,46.09303362,113.3127805,557.3301249,534.7573126,5.664669961,16.90814237
 01/02  02:00:00,997.3490911,101.2470396,553.7792268,0,46.09303362,113.3127805,557.3283562,542.9589469,5.664669961,8.70473939
 01/02  03:00:00,1000.555671,101.2470396,551.0271987,0,46.09303362,113.3127805,575.5565727,552.5025061,5.664669961,17.38939666
 01/02  04:00:00,1002.352553,101.2470396,548.9084977,0,46.09303362,113.3127805,576.2536302,561.8843563,5.664669961,8.704603944
 01/02  05:00:00,1087.833026,101.2470396,545.7868246,0,100.1506573,148.9693994,558.2435612,535.1896559,5.664669961,17.38923533
 01/02  06:00:00,1085.104158,101.2470396,541.268234,0,100.1506573,149.8943994,1069.41464,1046.548499,14.1616749,8.704466151
 01/02  07:00:00,1318.039431,101.2470396,540.5029061,0,176.4710373,302.6124365,740.6514014,694.9392213,28.3233498,17.38883028
 01/02  08:00:00,1437.292923,101.2470396,541.4086284,0,243.2593065,310.1097119,691.8333654,631.8125617,42.48502471,17.53577904
 01/02  09:00:00,1470.934926,101.2470396,541.477049,0,243.2593065,310.1097119,679.5306945,596.4647559,56.64669961,26.419239
 01/02  10:00:00,1508.247294,101.2926758,544.9122587,0,243.2593065,302.6124365,635.3236246,557.4925626,42.48502471,35.34603729
 01/02  11:00:00,1523.0027,101.3634312,551.7032172,0,243.2593065,310.1097119,630.3407442,524.0063025,70.80837451,35.52606725
 01/02  12:00:00,1526.236443,101.3788895,550.5244728,0,243.2593065,310.1097119,608.8524031,502.4506689,70.80837451,35.59335965
 01/02  13:00:00,1489.003302,101.4140807,546.0703948,0,243.2593065,310.1097119,596.2333809,490.0053137,70.80837451,35.41969262
 01/02  14:00:00,1519.741746,101.5385075,546.1173558,0,243.2593065,302.6124365,564.0105712,471.7727929,56.64669961,35.59107867
 01/02  15:00:00,1509.733329,101.6629599,538.9800238,0,243.2593065,302.6124365,532.9240473,454.9065809,42.48502471,35.53244177
 01/02  16:00:00,1507.34175,101.7522875,535.5367092,0,243.2593065,302.6124365,536.0472421,443.9328153,56.64669961,35.46772722
 01/02  17:00:00,1516.125245,101.8772456,540.8574803,0,243.2593065,310.1097119,528.2278862,416.7815523,84.97004941,26.47628446
 01/02  18:00:00,1534.811576,101.9172903,553.0864766,0,243.2593065,310.1097119,534.2081317,431.7484099,84.97004941,17.48967237
 01/02  19:00:00,1279.719686,101.2470396,562.410849,0,166.9389264,199.1109338,501.7514457,399.3459607,84.97004941,17.43543555
 01/02  20:00:00,1267.374777,101.2470396,559.9432248,0,166.9389264,191.6136585,480.3447296,406.2657711,56.64669961,17.4322589
 01/02  21:00:00,1128.013116,101.2470396,555.5107173,0,100.1506573,124.5586935,524.8791483,450.7967233,56.64669961,17.43572535
 01/02  22:00:00,1083.711904,101.2470396,551.1288409,0,100.1506573,124.5586935,510.8263027,459.63488,42.48502471,8.70639798
 01/02  23:00:00,1013.690626,101.2470396,546.4407541,0,46.09303362,124.5586935,525.7841626,480.0704226,28.3233498,17.39039028
 01/02  00:00:00,1006.527614,101.2470396,544.9676894,0,46.09303362,124.5586935,510.7682674,487.902787,14.1616749,8.703805569
 01/03  01:00:00,994.540942,101.2470396,544.3100832,0,46.09303362,113.3127805,517.2766046,494.2215435,5.664669961,17.39039115
 01/03  02:00:00,993.2647647,101.2470396,542.5544239,0,46.09303362,113.3127805,514.778615,500.4101468,5.664669961,8.703798292
 01/03  03:00:00,993.1170729,101.2470396,540.7908472,0,46.09303362,113.3127805,530.1809365,507.1261625,5.664669961,17.39010401
 01/03  04:00:00,993.6195025,101.2470396,539.3434782,0,46.09303362,113.3127805,526.5793994,512.2110182,5.664669961,8.703711216
 01/03  05:00:00,1037.906191,101.2470396,501.3544579,0,100.1506573,148.9693994,518.8735383,495.8175673,5.664669961,17.39130107
 01/03  06:00:00,1022.612635,101.2470396,489.6459063,0,100.1506573,149.8943994,855.4186578,832.5533785,14.1616749,8.703604419
 01/03  07:00:00,1265.81583,101.4850859,502.6082508,0,176.4710373,302.6124365,635.0183049,589.3042637,28.3233498,17.39069135
 01/03  08:00:00,1411.417948,101.7987026,531.8047359,0,243.2593065,310.1097119,610.5126787,550.488928,42.48502471,17.53872601
 01/03  09:00:00,1452.760039,101.9302204,538.8277041,0,243.2593065,310.1097119,604.1881532,521.1240981,56.64669961,26.41735552
 01/03  10:00:00,1497.767842,102.0304739,546.1188962,0,243.2593065,302.6124365,570.5040674,492.6755703,42.48502471,35.34347242
 01/03  11:00:00,1518.303684,102.187864,554.2297688,0,243.2593065,310.1097119,579.1521112,472.819592,70.80837451,35.52414461
 01/03  12:00:00,1519.675384,102.2348042,552.6861024,0,243.2593065,310.1097119,576.859483,470.4599781,70.80837451,35.59113037
 01/03  13:00:00,1475.510213,102.6152106,549.608738,0,243.2593065,310.1097119,561.3389673,455.1125545,70.80837451,35.41803825
 01/03  14:00:00,1505.486968,103.1504873,545.4802104,0,243.2593065,302.6124365,532.5568294,440.3207542,56.64669961,35.58937552
 01/03  15:00:00,1495.979089,103.6333032,539.7999693,0,243.2593065,302.6124365,506.4887463,428.4728553,42.48502471,35.53086631
 01/03  16:00:00,1493.301988,104.1428356,539.3138538,0,243.2593065,302.6124365,503.8032857,411.6900579,56.64669961,35.46652822
 01/03  17:00:00,1500.813887,104.7316919,539.5140181,0,243.2593065,310.1097119,495.94961,384.5043524,84.97004941,26.4752082
 01/03  18:00:00,1519.136063,104.8812017,548.7175534,0,243.2593065,310.1097119,506.8397975,404.3808941,84.97004941,17.48885393
 01/03  19:00:00,1263.252244,101.2470396,557.7967211,0,166.9389264,199.1109338,496.0569073,393.6513977,84.97004941,17.43546021
 01/03  20:00:00,1259.019915,101.2470396,567.4907414,0,166.9389264,191.6136585,471.876393,397.7987432,56.64669961,17.43095012
 01/03  21:00:00,1113.107507,101.2470396,565.5365569,0,100.1506573,124.5586935,514.2698469,440.1883138,56.64669961,17.43483357
 01/03  22:00:00,1074.848007,101.2470396,562.2135194,0,100.1506573,124.5586935,498.9402912,447.74924,42.48502471,8.706026549
 01/03  23:00:00,1000.222818,101.2470396,558.9222052,0,46.09303362,124.5586935,515.7282388,470.0153562,28.3233498,17.38953285
 01/03  00:00:00,1000.197117,101.2470396,554.3489695,0,46.09303362,124.5586935,502.3655191,479.5003891,14.1616749,8.703455189
 01/04  01:00:00,986.2067063,101.2470396,550.5929588,0,46.09303362,113.3127805,509.6439027,486.5883414,5.664669961,17.39089132
 01/04  02:00:00,977.6092227,101.2470396,541.5766096,0,46.09303362,113.3127805,508.1319636,493.763776,5.664669961,8.703517637
 01/04  03:00:00,923.159552,101.2470396,489.2255317,0,46.09303362,113.3127805,523.6297824,500.5757602,5.664669961,17.38935225
 01/04  04:00:00,894.232103,101.2470396,466.5104836,0,46.09303362,113.3127805,524.0461062,509.6754545,5.664669961,8.705981748
 01/04  05:00:00,974.5841282,101.2470396,460.3818541,0,100.1506573,148.9693994,520.6745008,497.6206541,5.664669961,17.38917676
 01/04  06:00:00,972.0033489,101.4114366,455.8227175,0,100.1506573,149.8943994,802.6818818,779.8143163,14.1616749,8.705890624
 01/04  07:00:00,1192.575887,102.1353369,449.3194634,0,176.4710373,302.6124365,625.13235,579.4185643,28.3233498,17.39043585
 01/04  08:00:00,1306.670819,102.6177116,444.2425076,0,243.2593065,310.1097119,602.311667,542.2882525,42.48502471,17.53838977
 01/04  09:00:00,1355.641026,103.4390135,463.9261753,0,243.2593065,310.1097119,589.3061085,506.2423239,56.64669961,26.41708503
 01/04  10:00:00,1444.491406,104.1950534,522.1927528,0,243.2593065,302.6124365,561.3553915,483.5271401,42.48502471,35.34322669
 01/04  11:00:00,1478.810805,104.8805245,546.0003442,0,243.2593065,310.1097119,566.1992852,459.8665386,70.80837451,35.52437212
 01/04  12:00:00,1489.257729,105.5524252,553.778461,0,243.2593065,310.1097119,546.7093767,440.3096026,70.80837451,35.59139961
 01/04  13:00:00,1457.460539,106.1923598,561.7335197,0,243.2593065,310.1097119,526.7184502,420.4916292,70.80837451,35.41844651
 01/04  14:00:00,1489.963369,106.7916271,558.0117818,0,243.2593065,302.6124365,489.6490362,397.4123085,56.64669961,35.59002803
 01/04  15:00:00,1480.305994,107.529465,544.7668303,0,243.2593065,302.6124365,447.6450474,369.62841,42.48502471,35.53161276
 01/04  16:00:00,1472.90043,108.3266095,535.5614038,0,243.2593065,302.6124365,439.2768201,347.1627077,56.64669961,35.46741277
 01/04  17:00:00,1482.500881,109.0231508,532.5848763,0,243.2593065,310.1097119,449.1348444,337.6890728,84.97004941,26.47572215
 01/04  18:00:00,1508.5343,109.0551244,545.9442095,0,243.2593065,310.1097119,460.4766472,358.0175368,84.97004941,17.48906102
 01/04  19:00:00,1263.82269,101.2470396,569.4577049,0,166.9389264,199.1109338,464.4030904,361.9974095,84.97004941,17.43563152
 01/04  20:00:00,1255.674703,101.2470396,568.8280359,0,166.9389264,191.6136585,441.564379,367.4832265,56.64669961,17.43445283
 01/04  21:00:00,1110.331022,101.2470396,565.6014078,0,100.1506573,124.5586935,483.2552647,409.1735,56.64669961,17.4350651
 01/04  22:00:00,1064.148079,101.2470396,562.6552652,0,100.1506573,124.5586935,472.9437056,421.7525492,42.48502471,8.706131687
 01/04  23:00:00,987.9144639,101.2470396,557.2460053,0,46.09303362,124.5586935,490.8944909,445.1813845,28.3233498,17.3897565
 01/04  00:00:00,902.6264309,101.2470396,474.5513931,0,46.09303362,124.5586935,480.7368639,457.8716088,14.1616749,8.703580187
 01/05  01:00:00,898.8360952,101.2470396,479.0814561,0,46.09303362,113.3127805,490.6753042,467.6194724,5.664669961,17.39116183
 01/05  02:00:00,909.4832667,101.2470396,488.2919388,0,46.09303362,113.3127805,489.6323026,475.2646102,5.664669961,8.703022486
 01/05  03:00:00,899.0877572,101.2470396,477.7308707,0,46.09303362,113.3127805,508.4614812,485.4071443,5.664669961,17.3896669
 01/05  04:00:00,887.5656202,101.2470396,457.023508,0,46.09303362,113.3127805,511.0072499,496.6364246,5.664669961,8.706155311
 01/05  05:00:00,990.8085371,101.2470396,453.9938012,0,100.1506573,148.9693994,507.1408949,484.0866872,5.664669961,17.38953772
 01/05  06:00:00,986.7386611,101.6793589,444.0654365,0,100.1506573,149.8943994,759.2585883,736.3908235,14.1616749,8.706089904
 01/05  07:00:00,1205.705676,102.5721819,433.9753526,0,176.4710373,302.6124365,599.3628206,553.6486249,28.3233498,17.39084591
