"Date","Price","Open","High","Low","Vol.","Change %"
"2025-11-19","6,642.19","6,625.84","6,689.75","6,603.50","","0.38%"
"2025-11-18","6,617.37","6,641.19","6,666.63","6,574.32","","-0.82%"
"2025-11-17","6,672.41","6,713.61","6,754.50","6,638.90","","-0.92%"
"2025-11-14","6,734.11","6,672.14","6,774.31","6,646.87","","-0.05%"
"2025-11-13","6,737.49","6,826.47","6,828.05","6,724.72","","-1.66%"
"2025-11-12","6,850.92","6,867.77","6,869.91","6,829.62","","0.06%"
"2025-11-11","6,846.61","6,815.64","6,855.13","6,806.87","","0.21%"
"2025-11-10","6,832.43","6,785.36","6,841.32","6,770.56","","1.54%"
"2025-11-07","6,728.80","6,696.18","6,730.11","6,631.44","","0.13%"
"2025-11-06","6,720.32","6,787.59","6,796.68","6,707.51","","-1.12%"
"2025-11-05","6,796.29","6,769.77","6,829.78","6,763.11","","0.37%"
"2025-11-04","6,771.55","6,788.52","6,820.21","6,766.71","","-1.17%"
"2025-11-03","6,851.97","6,882.32","6,882.32","6,820.62","","0.17%"
"2025-10-31","6,840.20","6,879.17","6,879.17","6,814.26","","0.26%"
"2025-10-30","6,822.34","6,860.50","6,880.75","6,820.69","","-0.99%"
"2025-10-29","6,890.59","6,910.95","6,920.34","6,851.91","","0.00%"
"2025-10-28","6,890.89","6,897.74","6,911.30","6,870.73","","0.23%"
"2025-10-27","6,875.16","6,845.46","6,877.28","6,843.94","","1.23%"
"2025-10-24","6,791.69","6,772.07","6,807.11","6,772.07","","0.79%"
"2025-10-23","6,738.44","6,703.65","6,749.53","6,700.14","","0.58%"
"2025-10-22","6,699.40","6,741.34","6,741.75","6,655.69","","-0.53%"
"2025-10-21","6,735.35","6,736.75","6,752.16","6,722.03","","0.00%"
"2025-10-20","6,735.13","6,690.05","6,744.35","6,690.05","","1.07%"
"2025-10-17","6,664.01","6,613.27","6,678.88","6,603.76","","0.53%"
"2025-10-16","6,629.07","6,689.02","6,709.34","6,593.99","","-0.63%"
"2025-10-15","6,671.06","6,688.27","6,724.12","6,612.11","","0.40%"
"2025-10-14","6,644.31","6,602.49","6,680.70","6,555.07","","-0.16%"
"2025-10-13","6,654.72","6,622.53","6,668.68","6,620.71","","1.56%"
"2025-10-10","6,552.51","6,740.49","6,762.40","6,550.78","","-2.71%"
"2025-10-09","6,735.11","6,760.50","6,764.58","6,716.17","","-0.28%"
"2025-10-08","6,753.72","6,723.87","6,755.64","6,718.09","","0.58%"
"2025-10-07","6,714.59","6,746.14","6,754.49","6,699.96","","-0.38%"
"2025-10-06","6,740.28","6,733.86","6,749.52","6,717.78","","0.36%"
"2025-10-03","6,715.79","6,722.14","6,750.87","6,705.67","","0.01%"
"2025-10-02","6,715.35","6,731.31","6,731.94","6,693.23","","0.06%"
"2025-10-01","6,711.20","6,664.92","6,718.48","6,656.20","","0.34%"
"2025-09-30","6,688.46","6,656.19","6,691.25","6,641.00","","0.41%"
"2025-09-29","6,661.21","6,661.58","6,677.31","6,644.49","","0.26%"
"2025-09-26","6,643.70","6,615.38","6,648.97","6,604.43","","0.59%"
"2025-09-25","6,604.72","6,608.19","6,619.00","6,569.22","","-0.50%"
"2025-09-24","6,637.97","6,669.79","6,672.66","6,621.76","","-0.28%"
"2025-09-23","6,656.92","6,692.44","6,699.52","6,645.58","","-0.55%"
"2025-09-22","6,693.75","6,654.28","6,698.88","6,648.07","","0.44%"
"2025-09-19","6,664.36","6,647.11","6,671.82","6,630.31","","0.49%"
"2025-09-18","6,631.96","6,626.85","6,656.80","6,611.89","","0.48%"
"2025-09-17","6,600.35","6,604.87","6,624.39","6,551.15","","-0.10%"
"2025-09-16","6,606.76","6,624.13","6,626.99","6,600.11","","-0.13%"
"2025-09-15","6,615.28","6,603.49","6,619.62","6,602.07","","0.47%"
"2025-09-12","6,584.29","6,590.66","6,600.21","6,579.49","","-0.05%"
"2025-09-11","6,587.47","6,554.41","6,592.89","6,545.80","","0.85%"
"2025-09-10","6,532.04","6,550.29","6,555.97","6,516.34","","0.30%"
"2025-09-09","6,512.61","6,503.33","6,518.23","6,483.08","","0.27%"
