"Date","Price","Open","High","Low","Vol.","Change %"
"2019-11-14","3,096.60","3,090.80","3,098.20","3,083.30","","0.08%"
"2019-11-13","3,094.00","3,084.20","3,098.10","3,078.80","","0.07%"
"2019-11-12","3,091.80","3,089.30","3,102.60","3,084.70","","0.16%"
"2019-11-11","3,087.00","3,080.30","3,088.30","3,075.80","","-0.20%"
"2019-11-08","3,093.10","3,081.20","3,093.10","3,073.60","","0.26%"
"2019-11-07","3,085.20","3,087.00","3,097.80","3,080.20","","0.27%"
"2019-11-06","3,076.80","3,075.10","3,078.30","3,065.90","","0.07%"
"2019-11-05","3,074.60","3,080.80","3,083.90","3,072.20","","-0.12%"
"2019-11-04","3,078.30","3,079.00","3,085.20","3,074.90","","0.37%"
"2019-11-01","3,066.90","3,050.70","3,066.90","3,050.70","","0.96%"
"2019-10-31","3,037.60","3,046.90","3,046.90","3,023.20","","-0.30%"
"2019-10-30","3,046.80","3,039.70","3,050.10","3,026.00","","0.33%"
"2019-10-29","3,036.90","3,035.40","3,047.90","3,034.80","","-0.08%"
"2019-10-28","3,039.40","3,032.10","3,044.10","3,032.10","","0.56%"
"2019-10-25","3,022.60","3,003.30","3,027.40","3,001.90","","0.41%"
"2019-10-24","3,010.30","3,014.80","3,016.10","3,000.40","","0.19%"
"2019-10-23","3,004.50","2,994.00","3,004.80","2,991.20","","0.28%"
"2019-10-22","2,996.00","3,010.70","3,014.60","2,995.00","","-0.36%"
"2019-10-21","3,006.70","2,996.50","3,007.30","2,995.30","","0.69%"
"2019-10-18","2,986.20","2,996.80","3,000.00","2,976.30","","-0.39%"
"2019-10-17","2,997.90","3,000.80","3,008.30","2,991.80","","0.27%"
"2019-10-16","2,989.70","2,989.70","2,997.50","2,985.20","","-0.20%"
"2019-10-15","2,995.70","2,973.60","3,003.30","2,973.60","","0.99%"
"2019-10-14","2,966.20","2,965.80","2,972.80","2,962.90","","-0.14%"
"2019-10-11","2,970.30","2,963.10","2,993.30","2,963.10","","1.10%"
"2019-10-10","2,938.10","2,918.60","2,948.50","2,917.10","","0.64%"
"2019-10-09","2,919.40","2,911.10","2,929.30","2,907.40","","0.91%"
"2019-10-08","2,893.10","2,920.40","2,925.50","2,892.70","","-1.56%"
"2019-10-07","2,938.80","2,944.20","2,959.80","2,935.70","","-0.45%"
"2019-10-04","2,952.00","2,918.60","2,953.70","2,918.60","","1.42%"
"2019-10-03","2,910.60","2,885.40","2,911.10","2,855.90","","0.80%"
"2019-10-02","2,887.60","2,924.80","2,924.80","2,874.90","","-1.79%"
"2019-10-01","2,940.20","2,983.70","2,992.50","2,938.70","","-1.23%"
