ticker_yf,Symbol,Company Name,exchange,market,Currency,last_close,max_drawdown,EMA_20,EMA_52,EMA_200,MACD,MACD_signal,RSI_14,dividend_ttm,payments_ttm,div_freq,last_div_date,div_yield_ttm,next_earnings_date,eps_estimate,reported_eps,surprise_pct,score,Exchange,Sector,"Market Cap (C$)
31-October-2025",cluster,ISIN,yield
NPCT,NPCT,Nuveen Core Plus Impact Fund Common Shares of Beneficial Interest,NYSE,USA,USD,10.579999923706055,-0.11230907341844087,10.412172659133557,10.387907933200884,10.575989136652387,0.08259698693488282,0.05106804751531524,92.68298923510639,1.302,12.0,Monthly,2026-02-13,0.12306238273997304,,,,,63.0,,,,,,0.12306238273997304
ASGI,ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,NYSE,USA,USD,25.639999389648438,-0.09516131298185548,23.526007560999048,22.64129494020006,21.139859571445047,0.7484593540667,0.5041136417385482,87.05880240999001,2.46,12.0,Monthly,2026-01-23,0.09594384003742093,,,,,68.0,,,,,,0.09594384003742093
TEI,TEI,"Templeton Emerging Markets Income Fund, Inc. Common Stock",NYSE,USA,USD,6.989999771118164,-0.11849197556710445,6.809624874632908,6.644089686880265,6.240329234720779,0.11301011000587469,0.09455584537290407,88.0,0.881,12.0,Monthly,2026-01-23,0.12603720012126263,,,,,79.0,,,,,,0.12603720012126263
GBAB,GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,NYSE,USA,USD,15.420000076293945,-0.08742134735830409,15.212452408943435,15.190252257173013,15.26864695651414,0.0712899582170099,0.03384240871564748,70.64220825637584,1.512,12.0,Monthly,2026-02-13,0.09805447422302446,,,,,88.0,,,,,,0.09805447422302446
BUI,BUI,"BlackRock Utility, Infrastructure & Power Opportunities Trust",NYSE,USA,USD,29.1299991607666,-0.11490818246865508,27.756125412586638,26.987139715558698,25.941433048943868,0.6862368941421018,0.5290440444494642,98.67846591806624,2.67,12.0,Monthly,2026-02-13,0.09165808708968513,,,,,92.0,,,,,,0.09165808708968513
EDD,EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock",NYSE,USA,USD,6.170000076293945,-0.10288065560986637,5.946929092913226,5.7543447250067645,5.3938806454634625,0.1280678768822483,0.1116834669963287,78.57144681775026,0.53,4.0,Quarterly,2025-12-19,0.08589951271416325,,,,,107.0,,,,,,0.08589951271416325
MEGI,MEGI,NYLI CBRE Global Infrastructure Megatrends Term Fund Common Shares,NYSE,USA,USD,15.40999984741211,-0.1352549859440526,14.48295950029262,14.183917804651157,13.960155448379469,0.3368338950509564,0.22185194298252173,92.57142203194755,1.5,12.0,Monthly,2026-01-26,0.09733939097033176,,,,,108.0,,,,,,0.09733939097033176
NPFD,NPFD,Nuveen Variable Rate Preferred & Income Fund Common Shares,NYSE,USA,USD,19.56999969482422,-0.09963483775746351,19.507237578326656,19.425295027843493,19.35198534792403,0.11830061258236668,0.09714118439229022,66.9999427797593,1.983,12.0,Monthly,2026-02-13,0.1013285657088924,,,,,111.0,,,,,,0.1013285657088924
IIM,IIM,Invesco Value Municipal Income Trust Common Stock,NYSE,USA,USD,12.819999694824219,-0.10088072473751808,12.50793705935691,12.438335295541954,12.26350716207038,0.09161195470614025,0.03907074043158118,94.28571817826358,0.9239999999999999,12.0,Monthly,2026-01-15,0.07207488471103816,,,,,114.0,,,,,,0.07207488471103816
MMT,MMT,MFS Multimarket Income Trust Common Stock,NYSE,USA,USD,4.789999961853027,-0.07627111709312784,4.731344525638095,4.710544109524726,4.696323477184359,0.021591485956572676,0.01477813341236895,66.66666666666666,0.403,12.0,Monthly,2026-01-20,0.08413361236105274,,,,,118.0,,,,,,0.08413361236105274
IQI,IQI,Invesco Quality Municipal Income Trust Common Stock,NYSE,USA,USD,10.390000343322754,-0.10297028936366126,10.111260053350941,10.04109050878108,9.869035548934818,0.07090177930852803,0.02862625048099733,91.22804669317989,0.756,12.0,Monthly,2026-01-15,0.07276226901049639,,,,,119.0,,,,,,0.07276226901049639
HEQ,HEQ,John Hancock Diversified Income Fund Common Shares of Beneficial Interest,NYSE,USA,USD,11.40999984741211,-0.11267604246456675,11.175412297435587,11.010344235751392,10.764844828547492,0.11817291614918624,0.09622301830323673,76.92308820918669,1.0,4.0,Quarterly,2025-12-11,0.08764242010281963,,,,,121.0,,,,,,0.08764242010281963
NAN,NAN,Nuveen New York Quality Municipal Income Fund Common Stock,NYSE,USA,USD,11.539999961853027,-0.086075985226016,11.453263984961957,11.416487693991893,11.402503087016088,0.05312117737718758,0.03307687373673641,74.41864591349939,0.8639999999999999,12.0,Monthly,2026-02-13,0.07487001757851511,,,,,121.0,,,,,,0.07487001757851511
NZF,NZF,Nuveen Municipal Credit Income Fund ,NYSE,USA,USD,12.970000267028809,-0.10638293715015501,12.695857473410864,12.612659168512891,12.422664658166092,0.10759008254521696,0.04332390580297388,90.62499379118925,0.96,12.0,Monthly,2026-02-13,0.0740169606966337,,,,,123.0,,,,,,0.0740169606966337
PPT,PPT,Putnam Premier Income Trust Common Stock,NYSE,USA,USD,3.619999885559082,-0.06666666666666665,3.6203768927094346,3.608372263156116,3.621452275776285,0.010793959047204371,0.01201849745185746,59.09086968301273,0.312,12.0,Monthly,2026-01-23,0.08618784802856808,,,,,135.0,,,,,,0.08618784802856808
DLY,DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,NYSE,USA,USD,14.949999809265137,-0.12759458522559286,14.83797249402838,14.770905307947192,15.08895617094964,0.07036406931993255,0.05616574232905416,75.51021599760219,1.4040000000000001,12.0,Monthly,2026-01-14,0.09391304467642086,,,,,137.0,,,,,,0.09391304467642086
VGI,VGI,Virtus Global Multi,NYSE,USA,USD,7.880000114440918,-0.10327458006951618,7.890305112584931,7.863035877688346,7.836479499881242,0.022894786997117222,0.022267364036729537,58.82350466247705,0.96,12.0,Monthly,2026-02-12,0.12182740939821819,,,,,138.0,,,,,,0.12182740939821819
EVG,EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,NYSE,USA,USD,11.100000381469727,-0.0886524843681531,11.024060384291756,11.009771763871445,11.050161187848456,0.0306340587602989,0.01908570718387565,70.27024937173788,0.817,11.0,Monthly,2026-01-15,0.07360360107409498,,,,,142.0,,,,,,0.07360360107409498
HIO,HIO,"Western Asset High Income Opportunity Fund, Inc. Common Stock",NYSE,USA,USD,3.809999942779541,-0.14043587071501784,3.771821790158035,3.767136974465464,3.839125977109374,0.015095112862226756,0.010500203188320567,70.0,0.43199999999999994,12.0,Monthly,2026-01-23,0.11338582847453782,,,,,142.0,,,,,,0.11338582847453782
BWG,BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,NYSE,USA,USD,8.609999656677246,-0.11929824072189243,8.550027159686367,8.512537756391977,8.46808395995179,0.032012933608186245,0.02324941387591946,64.10250767218085,0.96,12.0,Monthly,2026-01-23,0.11149826228570156,,,,,143.0,,,,,,0.11149826228570156
PDT,PDT,John Hancock Premium Dividend Fund,NYSE,USA,USD,13.449999809265137,-0.10550459652066357,13.127763431904116,12.985669602550317,12.999746246811085,0.15141977088415537,0.11862273209058517,78.12499689559154,0.996,12.0,Monthly,2026-02-12,0.07405204565979977,,,,,143.0,,,,,,0.07405204565979977
NQP,NQP,Nuveen Pennsylvania Quality Municipal Income Fund Common Stock,NYSE,USA,USD,12.010000228881836,-0.09298397198341846,12.00274825155923,11.98085555311085,11.722122119760042,0.022920553036717806,0.011163186599818927,65.11631517431196,0.9359999999999999,12.0,Monthly,2026-02-13,0.07793505263630991,,,,,146.0,,,,,,0.07793505263630991
FLC,FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock,NYSE,USA,USD,18.020000457763672,-0.10859459967774443,17.7961600076075,17.643976390532494,17.386448567281548,0.1231692332042087,0.10033027498840487,86.15385518269423,1.203,12.0,Monthly,2026-01-23,0.06675915479689702,,,,,152.0,,,,,,0.06675915479689702
