ticker_yf,div_date,div_amount
3IN.L,2007-11-28,2.8148
3IN.L,2008-06-18,4.2222
3IN.L,2008-11-12,2.9556
3IN.L,2009-05-27,4.5037003
3IN.L,2009-11-11,3.0963
3IN.L,2010-05-26,4.6443996
3IN.L,2010-12-08,4.0252
3IN.L,2011-06-08,4.0252
3IN.L,2011-06-15,4.0252
3IN.L,2011-12-14,4.18
3IN.L,2012-06-20,4.18
3IN.L,2012-12-12,4.18
3IN.L,2013-06-19,4.9541
3IN.L,2013-11-27,4.7148
3IN.L,2014-06-18,4.7148
3IN.L,2014-11-27,4.757
3IN.L,2015-06-18,5.0948
3IN.L,2015-07-08,21.5333
3IN.L,2015-11-26,4.5917
3IN.L,2016-05-19,4.5917
3IN.L,2016-11-24,4.7817
3IN.L,2017-06-15,4.7817
3IN.L,2017-11-23,4.9717
3IN.L,2018-03-15,41.4
3IN.L,2018-06-14,3.9250002
3IN.L,2018-11-22,4.325
3IN.L,2019-06-13,4.325
3IN.L,2019-11-28,4.6
3IN.L,2020-06-18,4.6
3IN.L,2020-11-26,4.9
3IN.L,2021-06-17,4.9
3IN.L,2021-11-25,5.2250004
3IN.L,2022-06-16,5.2250004
3IN.L,2022-11-24,5.5750003
3IN.L,2023-06-15,5.5750003
3IN.L,2023-11-23,5.9500003
3IN.L,2024-06-13,5.9500003
3IN.L,2024-11-21,6.325
3IN.L,2025-06-12,6.325
3IN.L,2025-11-20,6.725
AAEV.L,2007-11-28,0.70000005
AAEV.L,2008-07-16,0.4
AAEV.L,2008-12-03,1.25
AAEV.L,2009-07-08,1.0
AAEV.L,2009-12-02,1.0
AAEV.L,2010-07-07,1.5
AAEV.L,2011-01-26,1.5
AAEV.L,2011-08-03,1.5
AAEV.L,2012-02-01,1.5
AAEV.L,2012-08-01,1.75
AAEV.L,2013-01-30,1.75
AAEV.L,2013-07-31,2.5
AAEV.L,2014-02-05,2.5
AAEV.L,2014-07-30,2.5
AAEV.L,2015-02-05,2.5
AAEV.L,2015-08-06,2.5
AAEV.L,2016-02-11,2.5
AAEV.L,2016-08-04,2.5
AAEV.L,2017-02-09,2.5
AAEV.L,2017-08-03,2.5
AAEV.L,2018-02-08,2.5
AAEV.L,2018-08-02,3.0
AAEV.L,2019-02-07,3.0
AAEV.L,2019-08-01,3.0
AAEV.L,2020-02-06,3.0
AAEV.L,2020-08-06,2.7
AAEV.L,2021-02-04,2.74
AAEV.L,2021-08-05,2.87
AAEV.L,2022-02-03,3.22
AAEV.L,2022-08-04,3.3100002
AAEV.L,2023-02-02,3.1800003
AAEV.L,2023-08-03,3.22
AAEV.L,2024-02-01,3.06
AAEV.L,2024-08-01,3.1399999
AAEV.L,2024-10-03,13.500001
AAEV.L,2025-02-06,3.28
AAEV.L,2025-07-31,2.91
AAF.L,2019-11-14,2.24427
AAF.L,2020-07-02,2.24427
AAF.L,2020-11-12,1.1301
AAF.L,2021-06-24,1.767
AAF.L,2021-11-11,1.4746
AAF.L,2022-06-23,2.24427
AAF.L,2022-11-10,1.6308362
AAF.L,2023-06-22,2.4462543
AAF.L,2023-11-09,1.9492
AAF.L,2024-06-20,2.8057
AAF.L,2024-11-07,2.0211
AAF.L,2025-06-19,2.8960998
AAF.L,2025-11-06,2.162
AAIF.L,2006-07-26,2.0
AAIF.L,2007-01-31,2.5
AAIF.L,2007-07-25,2.0
AAIF.L,2008-01-23,2.75
AAIF.L,2008-07-23,2.0
AAIF.L,2009-01-21,2.75
AAIF.L,2009-07-22,2.0
AAIF.L,2010-01-20,3.0
AAIF.L,2010-04-28,1.25
AAIF.L,2010-07-21,1.25
AAIF.L,2010-10-27,1.25
AAIF.L,2011-01-19,2.25
AAIF.L,2011-04-27,1.5
AAIF.L,2011-07-20,1.5
AAIF.L,2011-10-26,1.5
AAIF.L,2012-01-18,2.25
AAIF.L,2012-04-25,1.55
AAIF.L,2012-07-18,1.55
AAIF.L,2012-10-24,1.55
AAIF.L,2013-01-16,2.5
AAIF.L,2013-04-24,1.8
AAIF.L,2013-07-17,1.8
AAIF.L,2013-10-23,1.8
AAIF.L,2014-01-15,2.5
AAIF.L,2014-04-30,1.8
AAIF.L,2014-07-16,1.8
AAIF.L,2014-10-23,1.8
AAIF.L,2015-01-22,2.6000001
AAIF.L,2015-04-30,2.0
AAIF.L,2015-07-16,2.0
AAIF.L,2015-10-22,2.0
AAIF.L,2016-01-21,2.5
AAIF.L,2016-04-21,2.0
AAIF.L,2016-07-21,2.0
AAIF.L,2016-10-20,2.0
AAIF.L,2017-01-19,2.75
AAIF.L,2017-04-27,2.25
AAIF.L,2017-07-20,2.25
AAIF.L,2017-10-19,2.25
AAIF.L,2018-01-18,2.25
AAIF.L,2018-04-26,2.25
AAIF.L,2018-07-19,2.25
AAIF.L,2018-10-25,2.25
AAIF.L,2019-01-17,2.4
AAIF.L,2019-04-25,2.25
AAIF.L,2019-07-18,2.25
AAIF.L,2019-10-24,2.25
AAIF.L,2020-01-23,2.5
AAIF.L,2020-04-23,2.25
AAIF.L,2020-07-30,2.25
AAIF.L,2020-10-22,2.25
AAIF.L,2021-01-21,2.55
AAIF.L,2021-04-22,2.25
AAIF.L,2021-07-29,2.25
AAIF.L,2021-10-21,2.25
AAIF.L,2022-01-20,2.75
AAIF.L,2022-04-21,2.3
AAIF.L,2022-07-28,2.3
AAIF.L,2022-10-27,2.3
AAIF.L,2023-01-19,3.1
AAIF.L,2023-04-27,2.5
AAIF.L,2023-07-27,2.5
AAIF.L,2023-10-26,2.5
AAIF.L,2024-01-25,4.25
AAIF.L,2024-04-25,2.55
AAIF.L,2024-07-25,2.55
AAIF.L,2024-10-24,2.55
AAIF.L,2025-01-23,6.78
AAIF.L,2025-04-24,3.6499999
AAIF.L,2025-07-24,3.8400002
AAIF.L,2025-10-23,4.29
AAL.L,1999-09-20,8.3098
AAL.L,2000-04-03,20.8992
AAL.L,2000-09-18,12.3617
AAL.L,2001-03-21,27.147099
AAL.L,2001-09-19,13.3131
AAL.L,2002-03-20,29.146502
AAL.L,2002-09-18,12.1652
AAL.L,2003-03-12,28.335499
AAL.L,2003-08-20,11.8838
AAL.L,2004-03-10,11.8844
AAL.L,2004-08-18,12.264999
AAL.L,2005-03-09,32.9021
AAL.L,2005-08-17,19.7762
AAL.L,2006-03-08,50.229103
AAL.L,2006-08-23,65.6046
AAL.L,2007-03-14,47.413002
AAL.L,2007-08-22,21.4991
AAL.L,2008-03-12,48.8048
AAL.L,2008-08-20,27.0899
AAL.L,2010-08-18,18.2689
AAL.L,2011-03-30,27.693901
AAL.L,2011-08-17,19.4917
AAL.L,2012-03-28,32.8283
AAL.L,2012-08-15,23.0194
AAL.L,2013-03-20,39.307003
AAL.L,2013-08-14,23.450901
AAL.L,2014-03-19,35.857098
AAL.L,2014-08-06,22.0423
AAL.L,2015-03-19,41.1712
AAL.L,2015-08-06,23.767801
AAL.L,2017-08-10,41.941498
AAL.L,2018-03-15,43.9012
AAL.L,2018-08-16,43.0191
AAL.L,2019-03-14,44.1235
AAL.L,2019-08-15,58.4893
AAL.L,2020-03-12,42.6872
AAL.L,2020-08-20,24.5621
AAL.L,2021-03-18,58.5319
AAL.L,2021-08-19,206.6458
AAL.L,2022-03-17,145.7137
AAL.L,2022-08-18,122.5421
AAL.L,2023-03-16,67.2212
AAL.L,2023-08-17,49.7653
AAL.L,2024-03-14,37.3484
AAL.L,2024-08-15,36.3049
AAL.L,2025-03-13,18.8513
AAL.L,2025-08-21,5.165
AAS.L,1996-10-21,0.24000001
AAS.L,1997-11-10,0.14
AAS.L,1998-11-09,0.022
AAS.L,1999-09-20,0.052
AAS.L,2000-10-23,0.24399999
AAS.L,2001-10-10,0.4
AAS.L,2002-10-16,0.53
AAS.L,2003-10-29,0.62
AAS.L,2004-10-13,0.62
AAS.L,2005-10-26,0.69
AAS.L,2006-10-18,1.23
AAS.L,2007-10-24,1.23
AAS.L,2008-10-15,1.0
AAS.L,2009-10-21,1.0
AAS.L,2010-10-20,2.02
AAS.L,2011-10-26,2.46
AAS.L,2012-10-17,2.5
AAS.L,2013-10-30,2.6000001
AAS.L,2014-11-06,2.6000001
AAS.L,2015-11-05,3.0
AAS.L,2016-11-03,2.1
AAS.L,2017-11-02,3.2
AAS.L,2018-12-20,3.4
AAS.L,2019-11-14,3.8
AAS.L,2020-11-12,3.8
AAS.L,2022-01-06,3.2
AAS.L,2022-02-24,3.2
AAS.L,2022-05-26,1.6
AAS.L,2022-08-25,1.6
AAS.L,2022-11-24,3.2
AAS.L,2023-02-23,1.6
AAS.L,2023-05-25,1.6
AAS.L,2023-08-24,1.61
AAS.L,2023-11-23,3.85
AAS.L,2024-02-22,1.6
AAS.L,2024-05-23,1.6
AAS.L,2024-08-22,1.62
AAS.L,2024-11-21,2.6000001
AAS.L,2025-02-20,1.6
AAS.L,2025-05-22,1.6
AAS.L,2025-08-21,1.63
AAS.L,2025-11-20,1.6
AATG.L,2001-09-19,1.0
AATG.L,2002-04-03,1.0
AATG.L,2002-09-09,1.0
AATG.L,2002-09-11,1.0
AATG.L,2003-03-19,1.0
AATG.L,2003-10-01,0.5
AATG.L,2004-03-24,1.5
AATG.L,2004-09-22,1.0
AATG.L,2004-09-29,5.0
AATG.L,2005-03-16,1.0
AATG.L,2005-06-22,2.0
AATG.L,2005-10-05,4.0
AATG.L,2006-04-26,4.0
AATG.L,2006-10-04,1.5
AATG.L,2007-05-02,1.5
AATG.L,2007-10-03,2.0
AATG.L,2008-04-30,2.0
AATG.L,2008-09-03,2.0
AATG.L,2008-12-10,2.0
AATG.L,2010-04-21,1.95
AATG.L,2010-09-29,1.19
AATG.L,2011-03-30,2.5
AATG.L,2011-09-28,2.5
AATG.L,2012-04-11,2.5
AATG.L,2012-10-03,2.5
AATG.L,2013-04-10,2.5
AATG.L,2013-10-02,2.5
AATG.L,2014-01-08,1.25
AATG.L,2014-04-09,1.25
AATG.L,2014-06-04,1.25
AATG.L,2014-10-01,1.25
AATG.L,2015-01-15,1.25
AATG.L,2015-04-09,1.25
AATG.L,2015-06-04,1.25
AATG.L,2015-10-01,1.25
AATG.L,2016-01-14,1.25
AATG.L,2016-04-14,1.25
AATG.L,2016-06-09,1.25
AATG.L,2016-10-06,1.25
AATG.L,2017-01-12,1.0
AATG.L,2017-06-01,1.0
AATG.L,2017-11-30,2.0
AATG.L,2018-05-31,2.0
AATG.L,2018-12-06,2.0
AATG.L,2019-06-06,2.0
AATG.L,2019-12-05,2.0
AATG.L,2020-06-04,2.0
AATG.L,2020-10-08,9.0
AATG.L,2020-12-03,1.95
AATG.L,2021-06-03,1.73
AATG.L,2021-12-02,1.95
AATG.L,2022-06-01,2.02
