ticker_yf,Symbol,Company Name,exchange,market,Currency,ISIN,last_close,max_drawdown,EMA_20,EMA_52,EMA_200,MACD,MACD_signal,RSI_14,dividend_ttm,payments_ttm,div_freq,last_div_date,div_yield_ttm,next_earnings_date,eps_estimate,reported_eps,surprise_pct
III.L,III,3I GROUP PLC,LSE,SETS,GBX,GB00B1YW4409,3155.0,-0.32742767436644993,3279.3485533947223,3616.0657063449075,3886.7259733335213,-182.52902456102993,-221.0205292168461,43.793584379358435,79.0,2.0,Semi-Annual,2025-11-27,0.02503961965134707,,,,
AAL.L,AAL,ANGLO AMERICAN PLC,LSE,SETS,GBX,GB00BTK05J60,2852.0,-0.326540747678304,2863.195601775347,2794.57825002627,2518.174587721968,19.18727087595107,23.91948427673567,56.751824817518255,24.016299999999998,2.0,Semi-Annual,2025-08-21,0.008420862552594669,,,,
AZN.L,AZN,ASTRAZENECA PLC,LSE,SETS,GBX,GB0009895292,13612.0,-0.19922133863485747,13568.74280631443,13117.014120609823,11912.193576320473,111.5781193742041,190.00180857076117,30.757097791798117,244.700005,2.0,Semi-Annual,2025-08-07,0.017976785556861594,,1.52,1.67,9.65
BA.L,BA.,BAE SYSTEMS PLC,LSE,SETS,GBX,GB0002634946,1693.5,-0.21868932038834954,1704.9027272083065,1769.7115047064574,1730.3744932185575,-27.97382348622341,-40.06197956649786,63.25411334552102,34.100001,2.0,Semi-Annual,2025-10-23,0.020135813994685562,,,,
BARC.L,BARC,BARCLAYS PLC,LSE,SETS,GBX,GB0031348658,454.25,-0.22373914753509516,431.0777206325587,411.36412210371736,361.8475659874696,11.859875894552658,10.433472493524812,83.34590526162796,8.5,2.0,Semi-Annual,2025-08-07,0.018712162905888827,,7.61,9.18,20.57
BP.L,BP.,BP PLC,LSE,SETS,GBX,GB0007980591,437.45001220703125,-0.29237330729166666,449.4180945135525,444.49349157803533,419.79212829209683,-1.9271241806138164,0.9890755045895061,38.93481626124162,24.493709000000003,4.0,Quarterly,2025-11-13,0.05599201809693379,,0.32,0.43,36.08
BATS.L,BATS,BRITISH AMERICAN TOBACCO PLC,LSE,SETS,GBX,GB0002875804,4297.0,-0.15023901661734573,4283.324750481928,4163.398736818135,3800.7423291278265,57.23008292443319,74.74150320379674,48.67807153965786,239.06,4.0,Quarterly,2025-10-02,0.05563416336979288,,,,
CCEP.L,CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC,LSE,SETS,GBX,GB00BDCPN049,6840.0,-0.14608233731739706,6842.071712917861,6824.906334922221,6735.623422451589,-15.528360126845655,2.716410802803818,43.28358208955223,179.31192,2.0,Semi-Annual,2025-11-13,0.02621519298245614,,,,
CPG.L,CPG,COMPASS GROUP PLC,LSE,SETS,GBX,GB00BD6K4575,2340.0,-0.18431234611326064,2376.6218039717123,2442.9803721821136,2535.8382366107826,-40.484649974700005,-41.83275967288726,35.21739130434783,48.120001,2.0,Semi-Annual,2025-06-19,0.020564102991452993,,,,
DGE.L,DGE,DIAGEO PLC,LSE,SETS,GBX,GB0002374006,1662.5,-0.38384615384615384,1693.7602250401865,1752.658667697823,1948.290368241839,-35.17508519884609,-31.334812257210494,38.940809968847354,79.39,2.0,Semi-Annual,2025-10-16,0.04775338345864662,,,,
EXPN.L,EXPN,EXPERIAN PLC,LSE,SETS,GBX,GB00B19NLV48,3384.0,-0.22859995008734713,3334.16613446063,3438.9423827453475,3625.2712761972084,-32.16792517643353,-49.07459799036524,53.954802259887,47.311302999999995,2.0,Semi-Annual,2025-06-19,0.013980881501182032,,,,
GLEN.L,GLEN,GLENCORE PLC,LSE,SETS,GBX,JE00B4T3BW64,380.79998779296875,-0.4058626141552062,370.2985490255914,356.4825279529222,330.86041848463816,7.36884652809556,6.303918522308039,75.73251305078341,7.480700000000001,2.0,Semi-Annual,2025-08-28,0.019644696007887128,,,,
GSK.L,GSK,GSK PLC,LSE,SETS,GBX,GB00BN7SWP63,1833.5,-0.1889637471928136,1802.299198792698,1735.2678899024163,1557.9340013339295,21.344166964177475,24.542764780646145,58.93271461716938,64.0,4.0,Quarterly,2025-11-13,0.03490591764385056,,39.78,46.9,17.88
HLN.L,HLN,HALEON PLC,LSE,SETS,GBX,GB00BMX86B70,368.8999938964844,-0.2133911452279461,363.21127756656574,360.2888881986162,366.2610073144018,-0.09251306821926164,0.922948135314257,44.63600759782729,6.8,2.0,Semi-Annual,2025-08-14,0.018433180028482522,,,,
HSBA.L,HSBA,HSBC HLDGS PLC,LSE,SETS,GBX,GB0005405286,1124.800048828125,-0.24328911171667766,1082.2495854621318,1056.6309240839403,962.2633778930916,13.50251868097098,8.852556219971738,77.31958021528574,49.5506007,4.0,Quarterly,2025-11-06,0.04405280809831435,,0.31,0.34,9.68
IMB.L,IMB,IMPERIAL BRANDS PLC,LSE,SETS,GBX,GB0004544929,3215.0,-0.15467511885895402,3229.302780344271,3171.582003218744,3003.860808439376,24.57188037979313,34.89380082374677,49.70986460348163,174.49999400000002,4.0,Quarterly,2025-11-27,0.05427682550544324,,,,
LLOY.L,LLOY,LLOYDS BANKING GROUP PLC,LSE,SETS,GBX,GB0008706128,95.13999938964844,-0.1348649102288324,93.79321275176258,90.38797258533374,80.30359510653729,1.502193333935324,1.77761483287662,62.86044402753096,3.33,2.0,Semi-Annual,2025-07-31,0.03500105130715731,,2.06,2.2,6.8
LSEG.L,LSEG,LONDON STOCK EXCHANGE GROUP PLC,LSE,SETS,GBX,GB00B0SWJX34,8620.0,-0.32715998346424147,8662.774694499705,8853.630731775564,9786.61843939062,-121.74941360156845,-110.75725398857364,41.186440677966104,136.0,2.0,Semi-Annual,2025-08-14,0.01577726218097448,,,,
NG.L,NG.,NATIONAL GRID PLC,LSE,SETS,GBX,GB00BDR05C01,1126.0,-0.0791399817017383,1134.566848579938,1126.3970471672476,1068.644227200703,-4.995977336894839,-1.6767945971420906,51.59235668789809,47.230001,2.0,Semi-Annual,2025-11-20,0.04194493872113677,,,,
NWG.L,NWG,NATWEST GROUP PLC,LSE,SETS,GBX,GB00BM8PJY71,630.2000122070312,-0.14386836839921546,614.5121349586251,590.9945095962914,529.2254130766864,9.566259903708783,11.257682034247338,62.67463817552751,25.0,2.0,Semi-Annual,2025-08-07,0.03966994528046293,,9.54,10.94,14.68
PRU.L,PRU,PRUDENTIAL PLC,LSE,SETS,GBX,GB0007099541,1106.5,-0.16177527397554037,1082.424274634019,1059.9438970259278,944.2469789809776,9.04887751142769,9.636742275398566,65.24590163934425,17.992201,2.0,Semi-Annual,2025-09-04,0.016260461816538636,,,,
RKT.L,RKT,RECKITT BENCKISER GROUP PLC,LSE,SETS,GBX,GB00B24CGK77,5976.0,-0.14488741232927282,5926.5810201788445,5842.329674694251,5489.114270956548,38.27376453861416,33.02035270851771,58.8628762541806,206.10000000000002,2.0,Semi-Annual,2025-08-07,0.03448795180722892,,,,
REL.L,REL,RELX PLC,LSE,SETS,GBX,GB00B2B0DG97,3077.0,-0.2812575574365175,3056.8169565487706,3198.2114631768427,3528.5041749131365,-55.55444202046192,-72.37976802046376,53.16901408450705,64.300003,2.0,Semi-Annual,2025-08-07,0.020896978550536238,,,,
RIO.L,RIO,RIO TINTO PLC,LSE,SETS,GBX,GB0007188757,5632.0,-0.19131801217835398,5484.893852304651,5294.391373998463,4909.982988162842,89.84278325091509,78.73474946352655,64.5,284.5675,2.0,Semi-Annual,2025-08-14,0.05052689985795455,,,,
RR.L,RR.,ROLLS-ROYCE HOLDINGS PLC,LSE,SETS,GBX,GB00B63H8491,1114.0,-0.21776575130200948,1091.698544741447,1098.1794065709337,978.9925964309488,-0.8735874691030858,-8.351314780927005,69.94219653179191,10.5,2.0,Semi-Annual,2025-08-07,0.009425493716337522,,,,
SHEL.L,SHEL,SHELL PLC,LSE,SETS,GBX,GB00BP6MXD84,2698.5,-0.19056870363829037,2758.481724446412,2764.095277204231,2672.402213705843,-26.81057482219694,-15.670953242737543,33.89021479713604,107.669998,4.0,Quarterly,2025-11-13,0.0398999436724106,,1.25,1.29,2.79
STAN.L,STAN,STANDARD CHARTERED PLC,LSE,SETS,GBX,GB0004082847,1760.5,-0.3074862192332791,1662.783625262045,1581.9127558768023,1368.855488552402,43.43024625574003,38.321327107961345,77.07979626485569,30.148030000000002,2.0,Semi-Annual,2025-08-07,0.017124697529111048,,,0.32,
TSCO.L,TSCO,TESCO PLC,LSE,SETS,GBX,GB00BLGZ9862,439.0,-0.2075566596888775,448.0034136427668,447.10864996932867,419.71062570423305,-2.3045823287151848,-1.0470475753682749,44.71403675329175,14.25,2.0,Semi-Annual,2025-10-09,0.03246013667425968,,,,
ULVR.L,ULVR,UNILEVER PLC,LSE,SETS,GBX,GB00B10RZP78,4845.0,-0.11145261578937082,4824.680592103434,4845.279412562237,4880.733341688889,-12.061718663634565,-19.597860756986098,48.02151703431883,174.4426,4.0,Quarterly,2025-11-06,0.03600466460268318,,,,
ADM.L,ADM,ADMIRAL GROUP PLC,LSE,SETS,GBX,GB00B02J6398,3140.0,-0.166394779771615,3133.416671421869,3200.9880291710188,3185.538712195541,-34.48713966526748,-36.899267905023905,52.0,236.0,2.0,Semi-Annual,2025-09-04,0.0751592356687898,,,,
AAF.L,AAF,AIRTEL AFRICA PLC,LSE,SETS,GBX,GB00BKDRYJ47,319.20001220703125,-0.14976136747878743,307.6598487461747,284.9204518626242,221.209061643562,7.7644596685567535,9.837857490639207,54.782635232676625,5.0580998,2.0,Semi-Annual,2025-11-06,0.015846176712297072,,0.05,0.03,-36.17
ALW.L,ALW,ALLIANCE WITAN PLC,LSE,SETS,GBX,GB00B11V7W98,1278.0,-0.20694864048338368,1274.5710817723013,1272.592532654201,1253.8808195693014,-0.5519153578366058,-0.6744845597683242,53.33333333333333,27.97,4.0,Quarterly,2025-11-27,0.021885758998435055,,,,
ANTO.L,ANTO,ANTOFAGASTA PLC,LSE,SETS,GBX,GB0000456144,3040.0,-0.28949396352427437,2861.945188671963,2726.3212040971525,2277.8289463535543,76.76353317379426,59.64616124888192,73.5031847133758,29.8936,2.0,Semi-Annual,2025-09-04,0.009833421052631578,,,,
AHT.L,AHT,ASHTEAD GROUP PLC,LSE,SETS,GBX,GB0000536739,5208.0,-0.33058909623124766,4881.987785737747,4934.4591172857145,4912.336852789563,32.49799931031066,-29.35888367343035,78.21297429620563,82.370001,2.0,Semi-Annual,2025-08-07,0.01581605241935484,,1.1,1.18,6.89
ABF.L,ABF,ASSOCIATED BRITISH FOODS PLC,LSE,SETS,GBX,GB0006731235,2089.0,-0.17201540436456997,2125.3402985272733,2146.593381114658,2119.364579569672,-20.14878889746933,-19.022898735695417,48.192771084337345,63.0,2.0,Semi-Annual,2025-12-11,0.03015797032072762,,,,
AUTO.L,AUTO,AUTO TRADER GROUP PLC,LSE,SETS,GBX,GB00BVYVFW23,621.0,-0.34522240003612115,634.9230010307973,692.7100771021505,764.7288273097502,-32.31953899986763,-35.55116887384867,35.87961949111953,10.600000399999999,2.0,Semi-Annual,2025-08-28,0.01706924380032206,,,,
AV.L,AV.,AVIVA PLC,LSE,SETS,GBX,GB00BPQY8M80,666.4000244140625,-0.12197288543496354,650.7748379572345,655.4354377428638,620.4193027164127,-1.3628589664987203,-4.173761017037658,66.48049216899257,36.900000000000006,2.0,Semi-Annual,2025-08-28,0.055372146830943804,,,,
BAB.L,BAB,BABCOCK INTERNATIONAL GROUP PLC,LSE,SETS,GBX,GB0009697037,1259.0,-0.1810717372515125,1182.7037822943373,1171.4529884472502,1018.9090161489788,15.563366428578775,-0.3765217058175123,80.46511627906978,7.0,2.0,Semi-Annual,2025-12-04,0.005559968228752979,,,,
BTRW.L,BTRW,BARRATT REDROW PLC,LSE,SETS,GBX,GB0000811801,359.20001220703125,-0.2741601179186025,373.0616501121782,379.217257142992,399.7822353224178,-6.174180873092723,-3.681429177109604,19.07313711079935,17.6,2.0,Semi-Annual,2025-10-09,0.048997771163370486,,,,
