ticker_yf,div_date,div_amount
A,2006-11-01,1.471388
A,2012-03-30,0.071531
A,2012-06-29,0.071531
A,2012-09-28,0.071531
A,2012-12-27,0.071531
A,2013-03-28,0.085837
A,2013-06-28,0.085837
A,2013-09-27,0.085837
A,2013-12-27,0.094421
A,2014-04-09,0.094421
A,2014-06-27,0.094421
A,2014-09-26,0.094421
A,2015-01-02,0.1
A,2015-03-27,0.1
A,2015-06-26,0.1
A,2015-09-25,0.1
A,2015-12-31,0.115
A,2016-04-01,0.115
A,2016-06-30,0.115
A,2016-09-30,0.115
A,2016-12-29,0.132
A,2017-03-31,0.132
A,2017-06-29,0.132
A,2017-10-02,0.132
A,2017-12-29,0.149
A,2018-04-02,0.149
A,2018-07-02,0.149
A,2018-10-01,0.149
A,2018-12-28,0.164
A,2019-04-01,0.164
A,2019-07-01,0.164
A,2019-09-30,0.164
A,2019-12-30,0.18
A,2020-03-30,0.18
A,2020-06-29,0.18
A,2020-10-05,0.18
A,2021-01-04,0.194
A,2021-04-05,0.194
A,2021-07-02,0.194
A,2021-10-04,0.194
A,2022-01-03,0.21
A,2022-04-04,0.21
A,2022-07-01,0.21
A,2022-10-03,0.21
A,2022-12-30,0.225
A,2023-04-03,0.225
A,2023-06-30,0.225
A,2023-10-02,0.225
A,2023-12-29,0.236
A,2024-04-01,0.236
A,2024-07-02,0.236
A,2024-10-01,0.236
A,2024-12-31,0.248
A,2025-04-01,0.248
A,2025-07-01,0.248
A,2025-09-30,0.248
AA,1962-02-06,0.030038
AA,1962-05-15,0.030038
AA,1962-08-14,0.030038
AA,1962-11-13,0.030038
AA,1963-02-05,0.030038
AA,1963-05-14,0.030038
AA,1963-08-13,0.030038
AA,1963-11-12,0.030038
AA,1964-02-04,0.030038
AA,1964-05-12,0.030038
AA,1964-08-11,0.030038
AA,1964-11-09,0.030038
AA,1965-02-02,0.035044
AA,1965-05-10,0.035044
AA,1965-08-10,0.035044
AA,1965-11-08,0.035044
AA,1966-02-08,0.035044
AA,1966-05-10,0.04005
AA,1966-08-09,0.04005
AA,1966-11-04,0.04005
AA,1967-02-07,0.04005
AA,1967-05-09,0.045056
AA,1967-08-08,0.045056
AA,1967-11-06,0.045056
AA,1968-02-06,0.045056
AA,1968-05-13,0.045056
AA,1968-08-12,0.045056
AA,1968-11-08,0.045056
AA,1969-02-03,0.045056
AA,1969-05-12,0.045056
AA,1969-08-11,0.045056
AA,1969-11-07,0.045056
AA,1970-02-02,0.045056
AA,1970-05-11,0.045056
AA,1970-08-10,0.045056
AA,1970-11-06,0.045056
AA,1971-02-01,0.045056
AA,1971-05-10,0.045056
AA,1971-08-09,0.045056
AA,1971-11-08,0.045056
AA,1972-01-31,0.045056
AA,1972-05-08,0.045056
AA,1972-08-07,0.045056
AA,1972-11-03,0.045056
AA,1973-01-29,0.045056
AA,1973-05-07,0.048561
AA,1973-08-06,0.048561
AA,1973-11-02,0.048561
AA,1974-02-08,0.050313
AA,1974-05-06,0.050313
AA,1974-08-05,0.050313
AA,1974-11-08,0.050313
AA,1975-02-07,0.050313
AA,1975-05-12,0.050313
AA,1975-08-11,0.050313
AA,1975-11-07,0.050313
AA,1976-02-02,0.050313
AA,1976-05-10,0.050313
AA,1976-08-09,0.052566
AA,1976-11-05,0.052566
AA,1977-01-31,0.052566
AA,1977-05-02,0.067584
AA,1977-08-01,0.067584
AA,1977-10-31,0.067584
AA,1978-01-30,0.067584
AA,1978-05-01,0.067584
AA,1978-07-31,0.075094
AA,1978-10-30,0.075094
AA,1979-01-29,0.090113
AA,1979-04-30,0.090113
AA,1979-07-30,0.105131
AA,1979-10-29,0.105131
AA,1980-01-28,0.12015
AA,1980-04-28,0.12015
AA,1980-07-28,0.12015
AA,1980-10-31,0.12015
AA,1981-02-02,0.067584
AA,1981-05-04,0.135169
AA,1981-08-03,0.135169
AA,1981-10-30,0.135169
AA,1982-02-01,0.135169
AA,1982-05-03,0.135169
AA,1982-08-02,0.135169
AA,1982-10-29,0.090113
AA,1983-01-31,0.090113
AA,1983-05-02,0.090113
AA,1983-08-01,0.090113
AA,1983-10-31,0.090113
