ticker_yf,Symbol,Company Name,exchange,market,Currency,last_close,max_drawdown,EMA_20,EMA_52,EMA_200,MACD,MACD_signal,RSI_14,dividend_ttm,payments_ttm,div_freq,last_div_date,div_yield_ttm,next_earnings_date,eps_estimate,reported_eps,surprise_pct
A,A,"Agilent Technologies, Inc. Common Stock",NYSE,NYSE,USD,140.60000610351562,-0.34934471202986483,145.32738564344845,142.74295041145623,132.15521699670347,-1.1276153365776338,0.24781456547710654,27.27273212294527,0.992,4.0,Quarterly,2025-09-30,0.007055476222879023,,1.39,1.53,10.38
AA,AA,Alcoa Corporation Common Stock ,NYSE,NYSE,USD,45.4900016784668,-0.4290412245940961,42.470413739413935,39.15797078646215,34.81340813801683,2.2588916506228642,1.8899179620235258,75.09267399650653,0.4,4.0,Quarterly,2025-11-04,0.008793141025302369,,0.19,-0.33,-273.14
AAM,AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,NYSE,NYSE,USD,10.619999885559082,-0.01629914394245846,10.609558638765806,10.582953757721048,10.446029150901758,0.009099922737094701,0.008762194157135125,54.16655076909627,,,,,,,,,
AAM.U,AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one",NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
AAM.W,AAM.W,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
AAMI,AAMI,Acadian Asset Management Inc. Common Stock,NYSE,NYSE,USD,47.65999984741211,-0.24149326933413184,46.09608225874471,45.652610883744096,40.271073002695196,0.7432991949596541,0.2811275169537485,65.28925330335753,0.03,3.0,Irregular,2025-09-12,0.0006294586675628991,,0.93,1.3,39.29
AAP,AAP,Advance Auto Parts Inc.,NYSE,NYSE,USD,45.459999084472656,-0.3912432434503128,49.78874936109927,51.83282537054456,50.90283431172389,-1.2073517090503074,-0.6736388649849486,33.37385338759094,1.0,4.0,Quarterly,2025-10-10,0.021997360759770903,,3.34,2.84,-14.87
AAT,AAT,"American Assets Trust, Inc. Common Stock",NYSE,NYSE,USD,19.329999923706055,-0.37626257778449346,19.158628751464178,19.380593184907887,20.584306252019122,-0.05761988121964379,-0.09035597410374868,52.00000339084202,1.36,4.0,Quarterly,2025-12-04,0.07035695837391671,,0.14,0.27,92.86
AAUC,AAUC,Allied Gold Corporation Common Shares,NYSE,NYSE,USD,23.3799991607666,-0.28452903801022855,20.603888567200983,18.6001217512936,14.82663859260033,1.5731200956290934,1.3019542353027032,88.67469392229187,,,,,,,,,
AB,AB,AllianceBernstein Holding L.P.  Units,NYSE,NYSE,USD,39.91999816894531,-0.18978638912628631,40.60306495414382,40.077086886088914,39.24497509230705,0.2502275274870769,0.43076179024860456,48.35441717714389,3.47,4.0,Quarterly,2025-11-03,0.086923851682423,,0.71,0.71,-0.09
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE,NYSE,USD,227.4499969482422,-0.2146219847412112,226.44030102373156,224.81939218684747,208.16408525439522,-0.5827924933554129,-0.14152321451367023,46.68810421908302,6.56,4.0,Quarterly,2025-10-15,0.02884150401414502,,3.57,3.66,2.43
ABCB,ABCB,Ameris Bancorp Common Stock,NYSE,NYSE,USD,78.66000366210938,-0.25967580366594234,76.06803427206468,74.3739135515177,69.60606382766426,1.2712398783731373,1.008020113869735,74.91521478633436,0.8,4.0,Quarterly,2025-09-30,0.010170352946288522,,1.34,1.18,-11.94
ABEV,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,NYSE,USD,2.5899999141693115,-0.1725490452738191,2.5032498977698783,2.422803230685313,2.3101001575954934,0.0351729585392917,0.04186259223931599,57.77777777777777,0.177,4.0,Quarterly,2025-08-11,0.06833977060449789,,0.03,0.04,23.38
ABG,ABG,Asbury Automotive Group Inc Common Stock,NYSE,NYSE,USD,242.42999267578125,-0.3106322624675477,236.09884412176947,235.5983089687945,240.41972117942953,3.4803767888174946,1.5839419739843041,70.31622785604628,,,,,,,9.22,9.23,0.1
ABM,ABM,ABM Industries Incorporated Common Stock,NYSE,NYSE,USD,47.18000030517578,-0.2898167271791744,44.466696099128804,44.34544600449803,47.19321421396794,0.8947828829202393,0.3655622474115452,88.05303884064885,1.06,4.0,Quarterly,2025-10-02,0.02246714695090231,,0.88,0.89,0.81
ABR,ABR,Arbor Realty Trust Common Stock,NYSE,NYSE,USD,8.380000114440918,-0.42748090996811383,8.998507682193473,9.786134690454109,11.143080924553388,-0.29654825009872887,-0.36726461997986026,47.44186686077278,1.33,4.0,Quarterly,2025-11-14,0.15871121501634164,,0.35,0.41,16.48
ABR$D,ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
ABR$E,ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
ABR$F,ABR$F,Arbor Realty Trust 6.25% Series F Fixed,NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
ABT,ABT,Abbott Laboratories Common Stock,NYSE,NYSE,USD,128.47000122070312,-0.1405648189479728,125.77406390705298,127.43494268967355,127.99107912984084,-0.8202955860553516,-0.9382018093982242,53.809522944512466,2.36,4.0,Quarterly,2025-10-15,0.01837004730735289,,0.94,1.15,21.81
ACA,ACA,"Arcosa, Inc. Common Stock ",NYSE,NYSE,USD,109.77999877929688,-0.344769973464082,106.39043034008998,101.47946296694882,95.89371445556598,3.177634856782305,2.9484369759896354,68.98078340421792,0.2,4.0,Quarterly,2025-10-15,0.0018218254893779201,,0.55,1.06,93.31
ACCO,ACCO,Acco Brands Corporation Common Stock,NYSE,NYSE,USD,3.7899999618530273,-0.4371772782906217,3.5937600870682114,3.662919128448527,4.026029285432733,0.028972282758506385,-0.027918307115240078,78.313249205104,0.3,4.0,Quarterly,2025-11-21,0.07915567361993385,,0.09,0.09,3.84
ACEL,ACEL,"Accel Entertainment, Inc. ",NYSE,NYSE,USD,11.260000228881836,-0.26020016735920015,10.549739837694844,10.522963096151528,10.957631843017513,0.21893444170279075,0.089966570981272,84.43393404268049,,,,,,,0.19,0.18,-4.76
ACHR,ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,NYSE,USD,7.829999923706055,-0.4963343319179474,8.319791862469227,8.979884075653027,9.475283540850464,-0.21901993206347115,-0.3473404249857182,55.064933456444024,,,,,,,-0.28,-0.26,7.31
ACHR.W,ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
ACI,ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,NYSE,USD,17.329999923706055,-0.26669579445858194,17.58860864999111,17.959955859034054,19.25174871736162,-0.20720343680126163,-0.1684192909811557,45.72491945181857,0.6,4.0,Quarterly,2025-10-24,0.03462204285294012,,0.65,0.72,10.66
ACLO,ACLO,TCW AAA CLO ETF,NYSE,NYSE,USD,50.36000061035156,-0.015935653876516742,50.36694993762975,50.382879593656305,50.31618917541089,-0.021480463589107046,-0.01782522666481416,38.35646503072614,2.465,13.0,Monthly,2025-12-01,0.048947576849181294,,,,
ACM,ACM,AECOM Common Stock,NYSE,NYSE,USD,97.95999908447266,-0.2708597347662549,106.48355900960142,115.93071509191687,116.0609325105347,-6.901418785209827,-6.98377154797565,33.72029957479542,1.04,4.0,Quarterly,2025-10-01,0.01061657829440351,,0.9,0.92,2.74
ACN,ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,NYSE,USD,274.6600036621094,-0.41604520387044885,260.58472113268334,254.3980265519558,278.1627157011868,7.084410468778913,5.260372489325628,69.5190728258911,4.4399999999999995,3.0,Irregular,2025-07-10,0.016165440693222122,,2.91,3.08,5.77
ACP,ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,NYSE,USD,5.380000114440918,-0.1701444525737228,5.417500219307219,5.519794839703902,5.735438379191192,-0.02926692333002734,-0.04079467073701946,67.39135617800142,0.9359999999999999,12.0,Monthly,2025-11-21,0.17397769146651176,,,,
ACP$A,ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
ACR,ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,NYSE,USD,23.6299991607666,-0.2970339032022201,22.426150853240692,21.484621097433184,19.976488447952317,0.7675136212101492,0.5872548692561891,77.14809650285423,,,,,,,0.46,0.52,14.29
ACR$C,ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed,NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
ACR$D,ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE,NYSE,USD,,,,,,,,,,,,,,,,,
ACRE,ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,NYSE,USD,5.420000076293945,-0.4875548991073999,5.120299429217773,4.9214658134222145,4.947695286251011,0.1294537524131627,0.12798112717262086,71.15382058384047,0.7,4.0,Quarterly,2025-09-30,0.1291512896949333,,0.32,0.01,-96.91
ACV,ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,25.510000228881836,-0.24729786082555627,25.784971532837734,25.258253137210676,23.63884862237751,0.20356648707500113,0.24110026533288714,58.547006805327214,2.16,12.0,Monthly,2025-12-11,0.0846726766217155,,,,
ACVA,ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,NYSE,USD,7.809999942779541,-0.7712359481982971,7.752497354813579,8.315269501035186,12.289051216343589,0.09718742546129455,-0.006769766637874611,66.66665898813366,,,,,,,-0.17,-0.15,13.54
AD,AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE,NYSE,USD,49.0099983215332,-0.42280223958041796,48.74011125943545,49.56240403383786,56.520496059023436,0.4414560348414369,0.27324967203254313,67.23600838048888,23.0,1.0,Annual,2025-08-20,0.46929199730036797,,,,
