ticker_yf,Symbol,Company Name,Exchange,Sector,"Market Cap (C$)
31-October-2025",last_close,max_drawdown,EMA_20,EMA_52,EMA_200,MACD,MACD_signal,RSI_14,dividend_ttm,payments_ttm,div_freq,last_div_date,div_yield_ttm,next_earnings_date,eps_estimate,reported_eps,surprise_pct
IGBT.TO,IGBT,2028 Investment Grade Bond Trust,TSX,Closed-End Funds,39789686.4,,,,,,,,,,,,,,,,,
BTCQ.TO,BTCQ,3iQ Bitcoin ETF,TSX,ETP,261148949.9,14.600000381469727,-0.5098828516510016,16.37947335423599,18.353813451113126,21.093531183696125,-1.4474997239839702,-1.1814432977791316,27.765950409735098,,,,,,,,,
ETHQ.TO,ETHQ,3iQ Ether Staking ETF,TSX,ETP,96306025.53,10.859999656677246,-0.61861173677046,12.819735769195407,15.054729737188385,16.8930961314577,-1.6502675948030632,-1.3843695553548123,25.18676291890297,,,,,,,,,
SOLQ.TO,SOLQ,3iQ Solana Staking ETF,TSX,ETP,253092000.0,9.260000228881836,-0.690976041944529,11.12438347654305,13.408849533622584,16.373980595718432,-1.5800361366521951,-1.308276045268423,24.73622460296731,,,,,,,,,
XRPQ.TO,XRPQ,3iQ XRP ETF,TSX,ETP,114184750.0,8.729999542236328,-0.6672686224611273,10.017637246610388,11.674539015088062,14.046461896437119,-1.1145418035542978,-0.9659294457574383,29.016613747863815,,,,,,,,,
VNP.TO,VNP,5N Plus Inc.,TSX,Clean Technology & Renewable Energy,1786825463.06,27.719999313354492,-0.3346613427240066,24.521459938935383,21.786207882948013,16.583017950993696,2.155137673529655,1.874114327378611,76.11143754496317,,,,,,,0.02,0.02,14.29
AW.TO,AW,A & W Food Services of Canada Inc.,TSX,Consumer Products & Services,877118895.55,36.5099983215332,-0.16759158607360336,36.636067628097486,37.03429282023117,36.789985970138225,-0.2880828577287389,-0.2735407156880014,54.81334200696688,1.92,4.0,Quarterly,2025-12-15,0.05258833438147831,,,,
AAB.TO,AAB,Aberdeen International Inc.,TSX,Financial Services,4805618.46,0.029999999329447746,-0.25,0.030757927632252297,0.03109044872260851,0.03224047847896031,-0.0004124102793213874,-0.00020613465017507956,50.0,,,,,,,,,
ABRA.TO,ABRA,AbraSilver Resource Corp.,TSX,Mining,1047174009.12,13.65999984741211,-0.28813559093729213,13.302616975565979,11.732893844316193,8.08152073759729,0.7516125323882079,0.7611908483346963,52.27882128928239,,,,,,,-0.05,-0.1,-100.0
FAP.TO,FAP,abrdn Asia-Pacific Income Fund VCC,TSX,Closed-End Funds,96223350.53,2.7699999809265137,-0.07744108311713105,2.7736149712300855,2.81293024081193,2.8687927218172917,-0.02037665146613854,-0.021795647256609586,42.10526315789475,0.21599999999999997,12.0,Monthly,2026-01-23,0.07797833988711869,,,,
