Ticker,Sector,Market Cap (B),Yield (%),Div. Freq,5Y Div Growth,Beta,Volatilidad (%),Payout Ratio (%),Debt/Equity,P/E,Precio,Rango 52W
AGNC,REIT hipotecario (mREIT),12.67,13.64,Mensual,1.61,1.35,22.12,106.1,688.68,7.78,11.44,8.12–12.17
APLE,REIT hotelero,2.88,8.55,Mensual,120.39,0.83,29.98,140.5,50.87,16.43,12.16,10.66–15.67
ARR,REIT hipotecario (mREIT),1.99,17.64,Mensual,-12.26,1.43,25.62,1642.1,781.24,93.11,17.69,13.97–19.21
CSWC,BDC,1.4,11.86,—,5.85,0.78,24.55,152.0,108.23,12.81,23.19,17.99–23.81
DX,REIT hipotecario (mREIT),2.81,15.42,Mensual,6.82,0.96,19.73,87.9,564.92,5.7,14.07,11.13–14.74
EFC,REIT híbrido,1.62,13.0,Mensual,4.44,0.94,22.08,128.0,870.86,9.85,13.0,11.53–14.35
JEPQ,—,,11.35,Mensual,—,0.78,19.5,,—,32.35,58.05,45.88–59.96
LTC,REIT salud/senior housing,1.78,6.61,Mensual,1.61,0.61,17.11,343.1,90.62,51.93,37.39,32.83–37.84
PFLT,BDC,0.94,13.0,Mensual,1.63,0.74,22.43,171.7,165.35,13.21,9.51,8.43–11.42
PSEC,BDC,1.24,22.16,Mensual,-6.98,0.86,31.03,,41.5,—,2.64,2.45–4.45
