ticker,price,52w_high,52w_low,ex_dividend_date,dividend_payment_date,last_dividend_date,last_dividend_per_share,currency,exchange
AAPL,278.12,288.62,169.21,2026-02-09,2026-02-12,2025-11-10,0.26,USD,NMS
ACV,27.33,29.042,17.0,2026-02-12,2018-03-01,2026-01-12,0.18,USD,NYQ
AIO,22.58,25.69,16.177,2026-02-12,2021-02-01,2026-01-12,0.15,USD,NYQ
AMP,542.99,552.43,396.14,2026-02-09,2026-02-27,2025-11-10,1.6,USD,NYQ
AROW,36.05,36.44,22.72,2026-02-11,2026-02-25,2025-11-12,0.29,USD,NMS
BCBP,8.28,10.64,7.31,2026-02-11,2026-02-26,2025-11-10,0.16,USD,NGM
BSRR,37.88,38.57,22.42,2026-02-09,2026-02-17,2025-11-03,0.25,USD,NMS
BX,129.69,190.09,115.66,2026-02-09,2026-02-17,2025-11-03,1.29,USD,NYQ
CBAN,21.07,21.46,13.99,2026-02-11,2026-02-25,2025-11-05,0.115,USD,NYQ
CBNK,32.81,36.4,24.69,2026-02-09,2026-02-25,2025-11-10,0.12,USD,NMS
CQP,57.65,68.42,49.53,2026-02-09,2026-02-13,2025-11-07,0.83,USD,NYQ
CWT,44.47,51.63,41.29,2026-02-09,2026-02-20,2025-11-10,0.3,USD,NYQ
DLX,27.8,28.6,13.61,2026-02-09,2026-02-23,2025-11-17,0.3,USD,NYQ
DSM,6.21,6.3,5.28,2026-02-12,2019-02-28,2026-01-14,0.023,USD,NYQ
EAD,6.85,7.18,5.89,2026-02-12,2019-03-01,2026-01-12,0.054,USD,ASE
ECC,5.15,8.86,4.94,2026-02-09,2019-03-29,2026-01-12,0.14,USD,NYQ
EDF,5.05,5.28,4.14,2026-02-12,,2026-01-12,0.06,USD,NYQ
EIC,10.37,16.23,10.23,2026-02-09,,2026-01-12,0.11,USD,NYQ
ERC,9.42,9.78,8.44,2026-02-12,2019-03-01,2026-01-12,0.072,USD,ASE
ERH,11.95,13.07,9.98,2026-02-12,2019-03-01,2026-01-12,0.084,USD,ASE
ETD,24.54,31.41,21.67,2026-02-11,2026-02-25,2025-11-12,0.39,USD,NYQ
ETR,97.96,98.58,75.57,2026-02-09,2026-03-02,2025-11-13,0.64,USD,NYQ
GDV,29.0,29.05,20.1,2026-02-12,2019-03-22,2026-01-15,0.15,USD,NYQ
GGN,5.44,5.77,3.68,2026-02-12,2019-03-22,2026-01-15,0.03,USD,ASE
GGT,4.18,4.94,3.75,2026-02-12,2018-12-14,2026-01-15,0.07,USD,NYQ
GHY,12.9,13.74,11.31,2026-02-12,2019-02-28,2025-12-26,0.105,USD,NYQ
GLP,46.94,60.0,39.58,2026-02-09,2026-02-13,2025-11-10,0.755,USD,NYQ
GLU,20.393,20.52,14.07,2026-02-12,2019-03-22,2026-01-15,0.11,USD,ASE
GNT,8.14,8.79,5.02,2026-02-12,2019-03-22,2026-01-15,0.06,USD,NYQ
GROW,3.0,3.65,2.02,2026-02-09,2026-03-30,2026-01-12,0.008,USD,NCM
GUT,6.01,6.2,4.71,2026-02-12,2019-03-22,2026-01-15,0.05,USD,NYQ
GWW,1197.65,1204.36,893.99,2026-02-09,2026-03-01,2025-11-10,2.26,USD,NYQ
HAFC,28.09,30.2,19.25,2026-02-09,2026-02-25,2025-11-04,0.27,USD,NMS
HBCP,63.04,64.17,39.59,2026-02-09,2026-02-20,2025-11-03,0.31,USD,NMS
HBT,29.51,29.88,19.46,2026-02-09,2026-02-17,2025-11-03,0.21,USD,NMS
HOMB,30.59,31.24,24.22,2026-02-11,2026-03-04,2025-11-12,0.21,USD,NYQ
HPF,16.114,17.58,14.56,2026-02-12,2019-02-28,2026-01-12,0.124,USD,NYQ
HPI,16.18,17.78,14.61,2026-02-12,2019-02-28,2025-12-29,0.124,USD,NYQ
HPS,14.69,15.68,13.08,2026-02-12,2019-02-28,2026-01-12,0.11,USD,NYQ
HTD,24.86,25.21,20.31,2026-02-12,2019-02-28,2026-01-12,0.158,USD,NYQ
HTO,52.37,57.17,43.75,2026-02-09,2026-03-02,2025-11-10,0.42,USD,NMS
HXL,86.0,88.0,45.28,2026-02-09,2026-02-17,2025-11-03,0.17,USD,NYQ
ISD,14.67,14.73,11.82,2026-02-12,2019-02-28,2025-12-26,0.105,USD,NYQ
JMSB,20.88,21.58,13.81,2026-02-11,2026-03-04,2025-06-27,0.3,USD,NCM
KINS,16.05,22.4,13.08,2026-02-11,2026-02-26,2025-11-10,0.05,USD,NCM
KVUE,18.13,25.17,14.02,2026-02-11,2026-02-25,2025-11-12,0.208,USD,NYQ
LARK,28.15,29.561905,21.314285,2026-02-12,2026-02-26,2025-11-12,0.2,USD,NGM
LAZ,56.8,58.07,31.97,2026-02-09,2026-02-20,2025-11-03,0.5,USD,NYQ
LEO,6.51,6.52,5.55,2026-02-12,2019-02-28,2026-01-14,0.023,USD,NYQ
