ticker,price,52w_high,52w_low,ex_dividend_date,dividend_payment_date,last_dividend_date,last_dividend_per_share,currency,exchange
AAPL,274.22,288.62,169.21,2026-02-09,2026-02-12,2026-02-09,0.26,USD,NMS
ACV,27.745,29.042,17.0,2026-02-12,2018-03-01,2026-01-12,0.18,USD,NYQ
ADM,68.41,69.75,40.98,2026-02-17,2026-03-10,2025-11-19,0.51,USD,NYQ
AIO,22.73,25.69,16.177,2026-02-12,2021-02-01,2026-01-12,0.15,USD,NYQ
AIZ,236.79,246.31,174.97,2026-02-17,2026-03-30,2025-12-01,0.88,USD,NYQ
ALX,233.33,260.84,189.05,2026-02-17,2026-02-27,2025-11-10,4.5,USD,NYQ
AMP,505.01,552.43,396.14,2026-02-09,2026-02-27,2026-02-09,1.6,USD,NYQ
AROW,35.45,36.44,22.72,2026-02-11,2026-02-25,2025-11-12,0.29,USD,NMS
ARR,17.495,19.31,13.18,2026-02-17,2026-02-27,2026-01-15,0.24,USD,NYQ
BCBP,8.425,10.64,7.31,2026-02-11,2026-02-26,2025-11-10,0.16,USD,NGM
BG,117.93,121.64,68.33,2026-02-17,2026-03-03,2025-11-17,0.7,USD,NYQ
BKH,72.37,75.87,54.92,2026-02-17,2026-03-01,2025-11-17,0.676,USD,NYQ
BKR,59.425,59.87,33.6,2026-02-17,2026-02-27,2025-11-04,0.23,USD,NMS
BOTJ,20.5,21.49,12.75,2026-02-17,2026-03-06,2025-11-21,0.1,USD,NCM
BSRR,36.73,38.57,22.42,2026-02-09,2026-02-17,2026-02-09,0.26,USD,NMS
BX,133.69,190.09,115.66,2026-02-09,2026-02-17,2026-02-09,1.49,USD,NYQ
CBAN,20.79,21.46,13.99,2026-02-11,2026-02-25,2025-11-05,0.115,USD,NYQ
CBNK,31.96,36.4,24.69,2026-02-09,2026-02-25,2026-02-09,0.12,USD,NMS
CCIF,4.04,7.9,3.765,2026-02-17,,2026-01-20,0.105,USD,NYQ
CIF,1.715,1.82,1.52,2026-02-17,2019-02-28,2026-01-20,0.015,USD,NYQ
CIK,2.82,3.04,2.56,2026-02-17,,2026-01-16,0.023,USD,ASE
CLM,8.075,8.956693,6.062992,2026-02-17,,2026-01-15,0.122,USD,NYQ
CMS,73.815,76.45,67.71,2026-02-17,2026-02-27,2025-11-07,0.543,USD,NYQ
CMU,3.56,3.63,3.18,2026-02-17,2019-02-28,2026-01-20,0.017,USD,NYQ
CQP,57.19,68.42,49.53,2026-02-09,2026-02-13,2026-02-09,0.83,USD,NYQ
CRF,7.68,8.941176,5.696078,2026-02-17,2019-03-29,2026-01-15,0.118,USD,ASE
CSL,415.52,435.92,293.43,2026-02-17,2026-03-02,2025-11-14,1.1,USD,NYQ
CVX,182.575,182.95,132.04,2026-02-17,2026-03-10,2025-11-18,1.71,USD,NYQ
CWT,44.68,51.63,41.29,2026-02-09,2026-02-20,2026-02-09,0.335,USD,NYQ
CXE,3.815,3.85,3.38,2026-02-17,2019-02-28,2026-01-20,0.018,USD,NYQ
CXH,8.11,8.21,7.34,2026-02-17,2019-02-28,2026-01-20,0.034,USD,NYQ
DHY,2.0,2.18,1.82,2026-02-17,2019-01-24,2026-01-16,0.016,USD,NYQ
DLX,27.47,28.6,13.61,2026-02-09,2026-02-23,2026-02-09,0.3,USD,NYQ
DMA,8.74,9.15,7.17,2026-02-17,,2025-08-18,0.083,USD,NYQ
DSM,6.26,6.3,5.28,2026-02-12,2019-02-28,2026-01-14,0.023,USD,NYQ
