ticker_yf,Symbol,Company Name,exchange,market,Currency,last_close,max_drawdown,EMA_20,EMA_52,EMA_200,MACD,MACD_signal,RSI_14,dividend_ttm,payments_ttm,div_freq,last_div_date,div_yield_ttm,next_earnings_date,eps_estimate,reported_eps,surprise_pct
ELME,ELME,Elme Communities Common Stock,NYSE,NYSE,USD,2.180000066757202,-0.8769230666819979,3.4479896136242667,7.85670055741535,13.54530071148995,-1.9340751588653333,-2.4450305618133195,41.935483870967744,15.21,4.0,Quarterly,2026-01-08,6.977064006527857,,0.01,-0.04,-500.0
NLOP,NLOP,Net Lease Office Properties Common Shares of Beneficial Interest,NYSE,NYSE,USD,19.799999237060547,-0.4521354944482392,19.84720359713117,22.09769244544158,27.11466069355499,-0.6619693840325915,-0.9562172297150304,72.90076752669745,12.299999999999999,3.0,Irregular,2026-01-02,0.6212121451488511,,,,
MVO,MVO,MV Oil Trust Units of Beneficial Interests,NYSE,NYSE,USD,1.4600000381469727,-0.8430769260113056,1.5070688686500109,1.8312371203826296,3.6708850813559826,-0.05174275786950333,-0.039844406087719816,40.20619025480183,0.805,4.0,Quarterly,2026-01-16,0.5513698486074723,,0.57,0.6,5.26
AIV,AIV,Apartment Investment and Management Company Common Stock,NYSE,NYSE,USD,5.820000171661377,-0.419603521452946,5.876308139822373,5.914679549877959,6.839627299012133,0.0015722362834873493,0.011854214595126759,48.3333346578812,2.23,1.0,Annual,2025-10-16,0.38316150072611155,,,-0.01,
ECC,ECC,Eagle Point Credit Company Inc. Common Stock,NYSE,NYSE,USD,4.46999979019165,-0.4954853314443549,5.1639277228473315,5.549551651418691,6.500610366037149,-0.2974306284042205,-0.21770259306599626,21.487613076366813,1.6800000000000002,12.0,Monthly,2026-02-09,0.3758389438152458,,0.41,,
HUYA,HUYA,"HUYA Inc. American depositary shares, each  representing one Class A ordinary share",NYSE,NYSE,USD,4.28000020980835,-0.4889867945514528,4.180423001998136,3.7103865192395835,3.4341036956512543,0.2921676122450121,0.3199029187209209,63.39623235646189,1.47,1.0,Annual,2025-07-01,0.34345792708870543,,-0.21,0.02,109.64
SPMC,SPMC,"Sound Point Meridian Capital, Inc. Common Stock",NYSE,NYSE,USD,11.010000228881836,-0.50203528154915,13.101042066783398,13.931134466586354,16.28005183315817,-0.6404609204081737,-0.3569102893050856,12.442907436289417,2.99,12.0,Monthly,2026-02-13,0.2715712931736843,,0.57,0.86,49.57
ECAT,ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,NYSE,NYSE,USD,15.220000267028809,-0.17153072728255891,15.472437743953666,15.633393854006117,15.991090270519324,-0.07892067229846944,-0.07682181956529541,39.86486181714847,3.479,12.0,Monthly,2026-02-13,0.22858081070711816,,,,
RC,RC,Ready Capital Corporation Common Stock,NYSE,NYSE,USD,1.690000057220459,-0.7604617593447528,2.0081221635167443,2.254547295980724,3.4030329397001076,-0.13335447340300055,-0.08927399898818816,19.565215137820203,0.385,4.0,Quarterly,2025-12-31,0.22781064317430205,,0.43,0.42,-1.18
PDX,PDX,PIMCO Dynamic Income Strategy Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,20.110000610351562,-0.28355898706138827,20.075255488576964,20.437861628752614,22.228454190664014,0.02823309773773275,-0.018124237915518343,57.40742703040643,4.566000000000001,13.0,Monthly,2026-02-12,0.22705121140820184,,,,
BCAT,BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,NYSE,NYSE,USD,14.949999809265137,-0.15167098629228049,14.801085107947673,14.63516911063153,14.727263627415313,0.1469621054527419,0.11643802951928317,59.72220290592211,3.265,12.0,Monthly,2026-02-13,0.21839465161575078,,,,
XFLT,XFLT,XAI Octagon Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest,NYSE,NYSE,USD,4.070000171661377,-0.37941631032063083,4.330115142035387,4.530535330129044,5.099389310407477,-0.15152703008729684,-0.11538085393634617,10.606081404732677,0.8580000000000001,12.0,Monthly,2026-01-15,0.21081080191939253,,,,
FSK,FSK,FS KKR Capital Corp. Common Stock,NYSE,NYSE,USD,13.319999694824219,-0.4700748012048799,13.684802186716288,14.333142216715917,16.888121346572106,-0.35607456691284867,-0.372375271481968,32.39436714310084,2.8,4.0,Quarterly,2025-12-03,0.21021021502635634,,0.74,0.78,4.98
PDCC,PDCC,Pearl Diver Credit Company Inc. Common Stock,NYSE,NYSE,USD,12.680000305175781,-0.39359156395474104,13.648221090106306,14.251895070879101,16.11315631719888,-0.2827369005773708,-0.2351734629554349,14.454996251406087,2.64,12.0,Monthly,2026-02-13,0.20820188773358253,,,,
