_STATE,q05,q25,median,q75,q95,mean_bin,State,p_lowest,p_highest
72.0,1.0,1.0,1.4988494290722,2.793388809024855,4.8098739330504765,2.37685932911887,Puerto Rico,0.35293923038625746,0.006134410842441478
78.0,1.0,1.4280220391950125,3.1482692878232887,4.5567294635030935,5.850105941528484,3.5538659503905183,Virgin Islands,0.18050066148026195,0.030404024690103833
66.0,1.0,1.796974689886378,3.529725862491879,4.646878898258936,5.802349217024108,3.7801385953861746,Guam,0.12864286993841165,0.023894721742961166
28.0,1.0,2.110606071519526,3.618629528617988,4.694924678271485,5.86577534290737,3.914458539699701,Mississippi,0.09136555575396117,0.03183902529519047
35.0,1.0,2.1831947975168244,3.664487890108328,4.738742563996984,5.881713690120155,3.959381819827573,New Mexico,0.08568384455983408,0.03264366356126451
5.0,1.0,2.0959598593577247,3.723736296022996,4.74572497217449,5.877085370957236,3.963725651455253,Arkansas,0.08357546301372508,0.03181102457846794
54.0,1.0,2.191281976178009,3.868260658151849,4.78366266658751,5.859703852984879,4.010629497696618,West Virginia,0.09052829817939881,0.02775337409275659
22.0,1.0,2.131615793890979,3.973800335020819,4.933540639388031,6.117495047658079,4.0854019454164945,Louisiana,0.09254069292140948,0.05665690585340524
40.0,1.0,2.3677462161341656,3.9874351751039367,4.825344326384375,5.912475391073278,4.115267683024706,Oklahoma,0.07350788101787774,0.0358523285802604
1.0,1.0,2.2933809190115797,4.06610746236793,4.91062304870437,5.9425844190085035,4.143842955727521,Alabama,0.07771011008679266,0.03942905109173216
21.0,1.0,2.4396703435894223,4.045247189136535,4.880996296317588,5.9723569207814124,4.188245572554423,Kentucky,0.06657794183804992,0.04532622254829582
47.0,1.0,2.422859275379142,4.059012080123594,4.911406647027813,5.976489488970721,4.192533367104018,Tennessee,0.07385464394890819,0.04581028478382539
45.0,1.0,2.4417138359644928,4.0804789488734405,4.921376367149092,5.981074752292276,4.210345151079847,South Carolina,0.07079328814203667,0.0465928453258847
37.0,1.0,2.5132839081625344,4.142749989074339,5.020645449522333,6.320497695816723,4.297338835660929,North Carolina,0.07450844527651729,0.07358326777139801
4.0,1.0,2.55412456032689,4.165736629433026,5.016179488136578,6.150193146743025,4.305583138029877,Arizona,0.07117955361383567,0.058836899006368
12.0,1.0,2.5534934299646017,4.181924003796633,4.997352138524619,6.223157260316143,4.32395667556993,Florida,0.05925117728389613,0.06436309106827462
